year,guild,bird.abundance,budburst,snowmelt,ice.melt,temp
1990,birdofprey,1,NA,NA,2.4489795918367343,0.1276470588235293
1990,passerine,42,NA,NA,2.4489795918367343,0.1276470588235293
1990,shorebird,42,NA,NA,2.4489795918367343,0.1276470588235293
1990,waterbird,62,NA,NA,2.4489795918367343,0.1276470588235293
1991,birdofprey,0,NA,NA,9.448979591836734,-0.2923529411764706
1991,passerine,54,NA,NA,9.448979591836734,-0.2923529411764706
1991,shorebird,13,NA,NA,9.448979591836734,-0.2923529411764706
1991,waterbird,67,NA,NA,9.448979591836734,-0.2923529411764706
1992,birdofprey,5,NA,NA,4.591836734693877,0.027647058823529313
1992,passerine,33,NA,NA,4.591836734693877,0.027647058823529313
1992,shorebird,44,NA,NA,4.591836734693877,0.027647058823529313
1992,waterbird,20,NA,NA,4.591836734693877,0.027647058823529313
1993,birdofprey,3,NA,NA,-4.551020408163266,0.027647058823529313
1993,passerine,19,NA,NA,-4.551020408163266,0.027647058823529313
1993,shorebird,34,NA,NA,-4.551020408163266,0.027647058823529313
1993,waterbird,6,NA,NA,-4.551020408163266,0.027647058823529313
1994,birdofprey,0,NA,NA,1.448979591836734,0.1476470588235294
1994,passerine,30,NA,NA,1.448979591836734,0.1476470588235294
1994,shorebird,38,NA,NA,1.448979591836734,0.1476470588235294
1994,waterbird,10,NA,NA,1.448979591836734,0.1476470588235294
1995,birdofprey,0,NA,NA,-2.5510204081632657,-0.07235294117647069
1995,passerine,17,NA,NA,-2.5510204081632657,-0.07235294117647069
1995,shorebird,5,NA,NA,-2.5510204081632657,-0.07235294117647069
1995,waterbird,17,NA,NA,-2.5510204081632657,-0.07235294117647069
1996,birdofprey,4,NA,NA,1.5918367346938769,-0.21235294117647055
1996,passerine,31,NA,NA,1.5918367346938769,-0.21235294117647055
1996,shorebird,16,NA,NA,1.5918367346938769,-0.21235294117647055
1996,waterbird,29,NA,NA,1.5918367346938769,-0.21235294117647055
1997,birdofprey,6,NA,NA,-0.5510204081632659,0.08764705882352945
1997,passerine,20,NA,NA,-0.5510204081632659,0.08764705882352945
1997,shorebird,25,NA,NA,-0.5510204081632659,0.08764705882352945
1997,waterbird,74,NA,NA,-0.5510204081632659,0.08764705882352945
1998,birdofprey,7,NA,NA,-7.551020408163266,0.40764705882352936
1998,passerine,37,NA,NA,-7.551020408163266,0.40764705882352936
1998,shorebird,25,NA,NA,-7.551020408163266,0.40764705882352936
1998,waterbird,58,NA,NA,-7.551020408163266,0.40764705882352936
1999,birdofprey,3,NA,NA,1.448979591836734,-0.15235294117647058
1999,passerine,18,NA,NA,1.448979591836734,-0.15235294117647058
1999,shorebird,13,NA,NA,1.448979591836734,-0.15235294117647058
1999,waterbird,71,NA,NA,1.448979591836734,-0.15235294117647058
2000,birdofprey,2,NA,NA,3.591836734693877,-0.23235294117647065
2000,passerine,27,NA,NA,3.591836734693877,-0.23235294117647065
2000,shorebird,6,NA,NA,3.591836734693877,-0.23235294117647065
2000,waterbird,87,NA,NA,3.591836734693877,-0.23235294117647065
2001,birdofprey,2,0.6399618818819387,1.9553011316169204,5.448979591836734,-0.13235294117647065
2001,passerine,31,0.6399618818819387,1.9553011316169204,5.448979591836734,-0.13235294117647065
2001,shorebird,11,0.6399618818819387,1.9553011316169204,5.448979591836734,-0.13235294117647065
2001,waterbird,57,0.6399618818819387,1.9553011316169204,5.448979591836734,-0.13235294117647065
2002,birdofprey,0,-0.5743238324037756,-0.6756512493354633,6.448979591836734,-0.2923529411764706
2002,passerine,12,-0.5743238324037756,-0.6756512493354633,6.448979591836734,-0.2923529411764706
2002,shorebird,0,-0.5743238324037756,-0.6756512493354633,6.448979591836734,-0.2923529411764706
