locationID,date,day_from_start,common_name,total_count,temp_binary,avg_temp,tomst_num,log_count
ARUQ0,2024-06-27,2,American Pipit,1,low,3.8377411833284754,39,0
ARUQ0,2024-06-27,2,Bohemian Waxwing,1,low,3.8377411833284754,39,0
ARUQ0,2024-06-27,2,Cackling Goose,25,low,3.8377411833284754,39,3.2188758248682006
ARUQ0,2024-06-27,2,Common Redpoll,30,low,3.8377411833284754,39,3.4011973816621555
ARUQ0,2024-06-27,2,Hoary Redpoll,3,low,3.8377411833284754,39,1.0986122886681098
ARUQ0,2024-06-27,2,Lapland Longspur,4,low,3.8377411833284754,39,1.3862943611198906
ARUQ0,2024-06-27,2,Red-throated Loon,7,low,3.8377411833284754,39,1.9459101490553132
ARUQ0,2024-06-27,2,Sandhill Crane,1,low,3.8377411833284754,39,0
ARUQ0,2024-06-27,2,Savannah Sparrow,584,low,3.8377411833284754,39,6.369900982828227
ARUQ0,2024-06-27,2,Townsend's Solitaire,1,low,3.8377411833284754,39,0
ARUQ0,2024-06-27,2,White-winged Crossbill,4,low,3.8377411833284754,39,1.3862943611198906
ARUQ0,2024-06-28,3,American Pipit,7,low,3.8377411833284754,39,1.9459101490553132
ARUQ0,2024-06-28,3,Bohemian Waxwing,2,low,3.8377411833284754,39,0.6931471805599453
ARUQ0,2024-06-28,3,Canada Goose,2,low,3.8377411833284754,39,0.6931471805599453
ARUQ0,2024-06-28,3,Common Nighthawk,1,low,3.8377411833284754,39,0
ARUQ0,2024-06-28,3,Common Redpoll,54,low,3.8377411833284754,39,3.9889840465642745
ARUQ0,2024-06-28,3,Dark-eyed Junco,1,low,3.8377411833284754,39,0
ARUQ0,2024-06-28,3,Evening Grosbeak,1,low,3.8377411833284754,39,0
ARUQ0,2024-06-28,3,Green-winged Teal,4,low,3.8377411833284754,39,1.3862943611198906
ARUQ0,2024-06-28,3,Hoary Redpoll,8,low,3.8377411833284754,39,2.0794415416798357
ARUQ0,2024-06-28,3,Horned Lark,8,low,3.8377411833284754,39,2.0794415416798357
ARUQ0,2024-06-28,3,Lapland Longspur,8,low,3.8377411833284754,39,2.0794415416798357
ARUQ0,2024-06-28,3,Nelson's Sparrow,1,low,3.8377411833284754,39,0
ARUQ0,2024-06-28,3,Northern Harrier,1,low,3.8377411833284754,39,0
ARUQ0,2024-06-28,3,Red-throated Loon,3,low,3.8377411833284754,39,1.0986122886681098
ARUQ0,2024-06-28,3,Savannah Sparrow,782,low,3.8377411833284754,39,6.661854740545311
ARUQ0,2024-06-28,3,Smith's Longspur,1,low,3.8377411833284754,39,0
ARUQ0,2024-06-28,3,Townsend's Solitaire,1,low,3.8377411833284754,39,0
ARUQ0,2024-06-28,3,White-crowned Sparrow,3,low,3.8377411833284754,39,1.0986122886681098
ARUQ0,2024-06-28,3,White-winged Crossbill,6,low,3.8377411833284754,39,1.791759469228055
ARUQ0,2024-06-29,4,American Pipit,1,low,3.8377411833284754,39,0
ARUQ0,2024-06-29,4,Bohemian Waxwing,1,low,3.8377411833284754,39,0
ARUQ0,2024-06-29,4,Common Redpoll,2,low,3.8377411833284754,39,0.6931471805599453
ARUQ0,2024-06-29,4,Dunlin,4,low,3.8377411833284754,39,1.3862943611198906
ARUQ0,2024-06-29,4,Horned Lark,1,low,3.8377411833284754,39,0
ARUQ0,2024-06-29,4,Lapland Longspur,44,low,3.8377411833284754,39,3.784189633918261
ARUQ0,2024-06-29,4,Least Sandpiper,1,low,3.8377411833284754,39,0
ARUQ0,2024-06-29,4,Long-billed Dowitcher,1,low,3.8377411833284754,39,0
ARUQ0,2024-06-29,4,Mallard,2,low,3.8377411833284754,39,0.6931471805599453
ARUQ0,2024-06-29,4,Savannah Sparrow,138,low,3.8377411833284754,39,4.927253685157205
ARUQ0,2024-06-29,4,Semipalmated Plover,5,low,3.8377411833284754,39,1.6094379124341003
ARUQ0,2024-06-30,5,American Pipit,18,low,3.8377411833284754,39,2.8903717578961645
ARUQ0,2024-06-30,5,Bank Swallow,1,low,3.8377411833284754,39,0
ARUQ0,2024-06-30,5,Brant,3,low,3.8377411833284754,39,1.0986122886681098
ARUQ0,2024-06-30,5,Cackling Goose,2,low,3.8377411833284754,39,0.6931471805599453
ARUQ0,2024-06-30,5,Common Redpoll,20,low,3.8377411833284754,39,2.995732273553991
ARUQ0,2024-06-30,5,Dunlin,2,low,3.8377411833284754,39,0.6931471805599453
ARUQ0,2024-06-30,5,Evening Grosbeak,1,low,3.8377411833284754,39,0
ARUQ0,2024-06-30,5,Great Horned Owl,4,low,3.8377411833284754,39,1.3862943611198906
ARUQ0,2024-06-30,5,Hoary Redpoll,1,low,3.8377411833284754,39,0
ARUQ0,2024-06-30,5,Horned Lark,1,low,3.8377411833284754,39,0
ARUQ0,2024-06-30,5,Lapland Longspur,53,low,3.8377411833284754,39,3.970291913552122
